cum,come
gn,good night
gm,good morning
frnds,friends
afaik,as far as i know
abt,about
ama,ask me anything
bcuz,because
b4,before
gr8,great
asap,as soon as possible
bae,before anyone else
bff,best friend forever
btw,by the way
gud,good
dm,direct message
fb,facebook
fyi,for your information
g2g,got to go
gg,good game
gtg,good to go
hbd,happy birthday
idk,i dont know
idc,i dont know
ily,i love you
jk,just kidding
l8,late
lmao,laughing my ass out
lmk,let me know
lol,laughing out loud
nvm,never mind
omg,oh my god
omw,on my way
ootd,outfit of the day
orly,oh really
ppl,people
rofl,rolling on the floor laughing
tbh,to be honest
thx,thanks
thnx,thanks
tysm,thank you so much
txt,text
wc,welcome
ty,thank you
yolo,you only live once
yt,you tube
2b,to be
2day,today
2nite,tonight
4u,for you
2gud,too good
abt2,about to
add,address
fk,fuck
fuk,fuck
aka,also know as
b,be
bc,because
bg,be good
btd,bored to death
btr,better
bw,best wishes
c,see
cu,see you
def,definite
diy,do it yourself
dunno,dont know
eol,end of life
fab,fabulous
asw,awesome
ff,friends forever
g1,good one
g9,genius
gawd,god
gf,girlfriend
bf,boyfriend
gn8,good night
goat,greatest of all time
hv,have
huh,what
lv,love
sry,sorry
ilu,i love you
okk,ok
kk,ok
lmk,let me know
nt,not
nw,no way
pics,photos
u,you
r,are
rip,rest n peace
s2u,same to you
sm,some
vg,very good
imp,important
w8,wait
wd,well done
wld,world
wp,well played
wtf,bad
xlnt,excellent
